country,iso3,year,gdp_growth_pct,inflation_cpi_pct,unemployment_pct
Brunei Darussalam,BRN,2024,4.05251709306727,-0.388674165036461,5.144
Cambodia,KHM,2024,5.97510939607335,0.808042016536654,0.27
China,CHN,2024,4.9773565917572,0.218128938439177,4.571
Germany,DEU,2024,-0.495851897260366,2.2564981433876,3.406
Indonesia,IDN,2024,5.03034469419038,2.18151273615189,3.3
Japan,JPN,2024,0.104309021773304,2.73853681635241,2.563
Lao PDR,LAO,2024,4.13019264436937,23.1305695942588,1.218
Malaysia,MYS,2024,5.10545921024041,1.834100204499,3.826
Myanmar,MMR,2019,6.57911006765414,8.82506696804558,0.407
Philippines,PHL,2024,5.69201612823412,3.21260487006347,2.153
Singapore,SGP,2024,4.38802362461865,2.38951123595017,3.182
Thailand,THA,2024,2.54182067735289,1.36580540798037,0.693
United States,USA,2024,2.79300127716779,2.94952520485207,4.106
Viet Nam,VNM,2024,7.09118746633975,3.62109273885843,1.431
